INFO:root:Customer ID: 0 Birth: 7, Rejected: False, Server ID: 0, Service Time: 7, Death: 14
INFO:root:Customer ID: 1 Birth: 14, Rejected: False, Server ID: 1, Service Time: 6, Death: 20
INFO:root:Customer ID: 2 Birth: 29, Rejected: False, Server ID: 0, Service Time: 196, Death: 225
INFO:root:Customer ID: 3 Birth: 61, Rejected: False, Server ID: 1, Service Time: 20, Death: 81
INFO:root:Customer ID: 4 Birth: 88, Rejected: False, Server ID: 1, Service Time: 83, Death: 171
INFO:root:Customer ID: 5 Birth: 97, Rejected: False, Server ID: 2, Service Time: 16, Death: 113
INFO:root:Customer ID: 6 Birth: 103, Rejected: False, Server ID: 3, Service Time: 253, Death: 356
INFO:root:Customer ID: 7 Birth: 107, Rejected: False, Server ID: 4, Service Time: 23, Death: 130
INFO:root:Customer ID: 8 Birth: 115, Rejected: False, Server ID: 2, Service Time: 116, Death: 231
INFO:root:Customer ID: 9 Birth: 121, Rejected: True, Server ID: None, Service Time: None, Death: 121
INFO:root:Customer ID: 10 Birth: 123, Rejected: True, Server ID: None, Service Time: None, Death: 123
INFO:root:Customer ID: 11 Birth: 138, Rejected: False, Server ID: 4, Service Time: 171, Death: 309
INFO:root:Customer ID: 12 Birth: 143, Rejected: True, Server ID: None, Service Time: None, Death: 143
INFO:root:Customer ID: 13 Birth: 161, Rejected: True, Server ID: None, Service Time: None, Death: 161
INFO:root:Customer ID: 14 Birth: 198, Rejected: False, Server ID: 1, Service Time: 96, Death: 294
INFO:root:Customer ID: 15 Birth: 200, Rejected: True, Server ID: None, Service Time: None, Death: 200
INFO:root:Customer ID: 16 Birth: 202, Rejected: True, Server ID: None, Service Time: None, Death: 202
INFO:root:Customer ID: 17 Birth: 206, Rejected: True, Server ID: None, Service Time: None, Death: 206
INFO:root:Customer ID: 18 Birth: 218, Rejected: True, Server ID: None, Service Time: None, Death: 218
INFO:root:Customer ID: 19 Birth: 224, Rejected: True, Server ID: None, Service Time: None, Death: 224
INFO:root:Customer ID: 20 Birth: 225, Rejected: True, Server ID: None, Service Time: None, Death: 225
INFO:root:Customer ID: 21 Birth: 229, Rejected: False, Server ID: 0, Service Time: 182, Death: 411
INFO:root:Customer ID: 22 Birth: 230, Rejected: True, Server ID: None, Service Time: None, Death: 230
INFO:root:Customer ID: 23 Birth: 245, Rejected: False, Server ID: 2, Service Time: 273, Death: 518
INFO:root:Customer ID: 24 Birth: 254, Rejected: True, Server ID: None, Service Time: None, Death: 254
INFO:root:Customer ID: 25 Birth: 265, Rejected: True, Server ID: None, Service Time: None, Death: 265
INFO:root:Customer ID: 26 Birth: 273, Rejected: True, Server ID: None, Service Time: None, Death: 273
INFO:root:Customer ID: 27 Birth: 274, Rejected: True, Server ID: None, Service Time: None, Death: 274
INFO:root:Customer ID: 28 Birth: 294, Rejected: True, Server ID: None, Service Time: None, Death: 294
INFO:root:Customer ID: 29 Birth: 312, Rejected: False, Server ID: 1, Service Time: 15, Death: 327
INFO:root:Customer ID: 30 Birth: 318, Rejected: False, Server ID: 4, Service Time: 60, Death: 378
INFO:root:Customer ID: 31 Birth: 332, Rejected: False, Server ID: 1, Service Time: 125, Death: 457
INFO:root:Customer ID: 32 Birth: 342, Rejected: True, Server ID: None, Service Time: None, Death: 342
INFO:root:Customer ID: 33 Birth: 360, Rejected: False, Server ID: 3, Service Time: 60, Death: 420
INFO:root:Customer ID: 34 Birth: 361, Rejected: True, Server ID: None, Service Time: None, Death: 361
INFO:root:Customer ID: 35 Birth: 363, Rejected: True, Server ID: None, Service Time: None, Death: 363
INFO:root:Customer ID: 36 Birth: 395, Rejected: False, Server ID: 4, Service Time: 20, Death: 415
INFO:root:Customer ID: 37 Birth: 396, Rejected: True, Server ID: None, Service Time: None, Death: 396
INFO:root:Customer ID: 38 Birth: 422, Rejected: False, Server ID: 0, Service Time: 42, Death: 464
INFO:root:Customer ID: 39 Birth: 424, Rejected: False, Server ID: 3, Service Time: 83, Death: 507
INFO:root:Customer ID: 40 Birth: 431, Rejected: False, Server ID: 4, Service Time: 177, Death: 608
INFO:root:Customer ID: 41 Birth: 432, Rejected: True, Server ID: None, Service Time: None, Death: 432
INFO:root:Customer ID: 42 Birth: 448, Rejected: True, Server ID: None, Service Time: None, Death: 448
INFO:root:Customer ID: 43 Birth: 464, Rejected: False, Server ID: 1, Service Time: 122, Death: 586
INFO:root:Customer ID: 44 Birth: 465, Rejected: False, Server ID: 0, Service Time: 233, Death: 698
INFO:root:Customer ID: 45 Birth: 480, Rejected: True, Server ID: None, Service Time: None, Death: 480
INFO:root:Customer ID: 46 Birth: 488, Rejected: True, Server ID: None, Service Time: None, Death: 488
INFO:root:Customer ID: 47 Birth: 514, Rejected: False, Server ID: 3, Service Time: 62, Death: 576
INFO:root:Customer ID: 48 Birth: 524, Rejected: False, Server ID: 2, Service Time: 52, Death: 576
INFO:root:Customer ID: 49 Birth: 547, Rejected: True, Server ID: None, Service Time: None, Death: 547
INFO:root:Customer ID: 50 Birth: 558, Rejected: True, Server ID: None, Service Time: None, Death: 558
INFO:root:Customer ID: 51 Birth: 564, Rejected: True, Server ID: None, Service Time: None, Death: 564
INFO:root:Customer ID: 52 Birth: 572, Rejected: True, Server ID: None, Service Time: None, Death: 572
INFO:root:Customer ID: 53 Birth: 581, Rejected: False, Server ID: 2, Service Time: 28, Death: 609
INFO:root:Customer ID: 54 Birth: 589, Rejected: False, Server ID: 1, Service Time: 74, Death: 663
INFO:root:Customer ID: 55 Birth: 604, Rejected: False, Server ID: 3, Service Time: 41, Death: 645
INFO:root:Customer ID: 56 Birth: 605, Rejected: True, Server ID: None, Service Time: None, Death: 605
INFO:root:Customer ID: 57 Birth: 608, Rejected: True, Server ID: None, Service Time: None, Death: 608
INFO:root:Customer ID: 58 Birth: 631, Rejected: False, Server ID: 2, Service Time: 165, Death: 796
INFO:root:Customer ID: 59 Birth: 634, Rejected: False, Server ID: 4, Service Time: 43, Death: 677
INFO:root:Customer ID: 60 Birth: 643, Rejected: True, Server ID: None, Service Time: None, Death: 643
INFO:root:Customer ID: 61 Birth: 648, Rejected: False, Server ID: 3, Service Time: 47, Death: 695
INFO:root:Customer ID: 62 Birth: 650, Rejected: True, Server ID: None, Service Time: None, Death: 650
INFO:root:Customer ID: 63 Birth: 654, Rejected: True, Server ID: None, Service Time: None, Death: 654
INFO:root:Customer ID: 64 Birth: 667, Rejected: False, Server ID: 1, Service Time: 55, Death: 722
INFO:root:Customer ID: 65 Birth: 672, Rejected: True, Server ID: None, Service Time: None, Death: 672
INFO:root:Customer ID: 66 Birth: 673, Rejected: True, Server ID: None, Service Time: None, Death: 673
INFO:root:Customer ID: 67 Birth: 685, Rejected: False, Server ID: 4, Service Time: 101, Death: 786
INFO:root:Customer ID: 68 Birth: 690, Rejected: True, Server ID: None, Service Time: None, Death: 690
INFO:root:Customer ID: 69 Birth: 725, Rejected: False, Server ID: 0, Service Time: 170, Death: 895
INFO:root:Customer ID: 70 Birth: 728, Rejected: False, Server ID: 1, Service Time: 29, Death: 757
INFO:root:Customer ID: 71 Birth: 738, Rejected: False, Server ID: 3, Service Time: 328, Death: 1066
INFO:root:Customer ID: 72 Birth: 753, Rejected: True, Server ID: None, Service Time: None, Death: 753
INFO:root:Customer ID: 73 Birth: 758, Rejected: False, Server ID: 1, Service Time: 5, Death: 763
INFO:root:Customer ID: 74 Birth: 777, Rejected: False, Server ID: 1, Service Time: 140, Death: 917
INFO:root:Customer ID: 75 Birth: 783, Rejected: True, Server ID: None, Service Time: None, Death: 783
INFO:root:Customer ID: 76 Birth: 788, Rejected: False, Server ID: 4, Service Time: 78, Death: 866
INFO:root:Customer ID: 77 Birth: 807, Rejected: False, Server ID: 2, Service Time: 107, Death: 914
INFO:root:Customer ID: 78 Birth: 831, Rejected: True, Server ID: None, Service Time: None, Death: 831
INFO:root:Customer ID: 79 Birth: 832, Rejected: True, Server ID: None, Service Time: None, Death: 832
INFO:root:Customer ID: 80 Birth: 840, Rejected: True, Server ID: None, Service Time: None, Death: 840
INFO:root:Customer ID: 81 Birth: 851, Rejected: True, Server ID: None, Service Time: None, Death: 851
